1-11,545160371251,263726286,Meizu/魅族 魅蓝5s
2-11,540282356610,1115488308,honor/荣耀 畅玩6X
3-11,546773700069,2616970884,手机</span>4X
4-11,544931867895,1714128138,Xiaomi/小米 红米Note4X 32G
5-11,537536530819,1714128138,Xiaomi/小米 红米Note4 高配版
7-11,543033444141,268451883,Meizu/魅族 魅蓝note5
8-11,541151596172,2616970884,手机</span>4 32G
9-11,543300503500,1023691747,Meizu/魅族 魅蓝Note5全网通
10-11,535287355853,1114511827,honor/荣耀 畅玩5A
11-11,522583202450,2038628674,Apple/苹果 iPhone 6s
12-11,541212432230,1714128138,手机</span>4
13-11,545545162857,2616970884,手机</span>4A
14-11,545908249829,268451883,Xiaomi/小米 红米note4X
15-11,543191928989,883737303,vivo X9Plus
16-11,542289486822,901409638,OPPO R9S plus
18-11,540573988555,1114511827,honor/荣耀 畅玩6X 尊享版
19-11,530737331947,1114511827,honor/荣耀 畅玩5C
20-11,541508932930,1695308781,Meizu/魅族 魅蓝5 全网通
21-11,540205044755,1715164541,OPPO R9S
22-11,540990384744,2838892713,Huawei/华为 Mate 9 6+128GB
23-11,530414781951,2043230365,Letv/乐视 乐MAX2
24-11,541396973568,883737303,vivo X9
25-11,541888888509,901409638,OPPO A57
26-11,545477102420,268451883,honor/荣耀 荣耀8青春版
27-11,545233494187,1918343177,Meizu/魅族 魅蓝5s全网通
29-11,540339753565,2838892713,Huawei/华为 畅享6
30-11,521893768621,1917047079,Apple/苹果 iPhone 6s Plus
31-11,545436076640,197232874,honor/荣耀 荣耀V9全网通
32-11,545693853578,2780914909,honor/荣耀 荣耀8青春版 标配版
33-11,531630665780,2024314280,Xiaomi/小米 小米Max
34-11,542799221719,263726286,Huawei/华为 Mate 9 Pro 4GB+64GB
35-11,544896926654,263726286,Meitu/美图 T8
36-11,535621604498,197232874,honor/荣耀 荣耀8
37-11,543310002545,1711947424,Huawei/华为 畅享6S
38-11,545663194713,2043230365,Letv/乐视 X520
40-11,535280163470,2024314280,Xiaomi/小米 小米Max 高配版
41-11,535690521205,1115488308,Meizu/魅族 MX6
42-11,540218394944,1898764315,Letv/乐视 乐Pro3 6GB+64GB
43-11,540287116918,2765414748,ZTE/中兴 BV0730高配版
44-11,530486430469,1777180618,Letv/乐视 乐2
45-11,541061180440,2215302589,Huawei/华为 畅享5S
46-11,541800569888,1695308781,Meizu/魅族 pro 6s
47-11,543805303852,1718094179,Xiaomi/小米 红米Note4 32G
48-11,543322918673,713805254,Meizu/魅族 魅蓝5
49-11,528923532840,1718094179,Xiaomi/小米 红米Note3 全网通
51-11,541861593941,883737303,vivo X9高配版
52-11,542544496605,1023691747,Meizu/魅族 PRO 6 Plus
53-11,541812521373,742644724,Letv/乐视 乐2 全网通版
54-11,541066925459,197232874,Xiaomi/小米 小米Note2 高配版
55-11,539323975035,901409638,OPPO A59s
56-11,542325634260,1695308781,Meizu/魅族 魅蓝X
57-11,539184132804,2838892713,Huawei/华为 nova
58-11,530887156042,1614874856,Huawei/华为 G9 青春版
59-11,545411734837,370627083,Samsung/三星 Galaxy C5 Pro SM-C5010
60-11,43676921432,865186036,MIUI/小米 红米note 4G标准版
